loc_id,am_trip_count,pm_trip_count,borough_name,zone_name,pm_minus_am,pm_am_ratio,pm_increase_pct
208,3199,1579,Bronx,Schuylerville/Edgewater Park,-1620,0.4935917474210691,-50.6408252578931
209,13578,30975,Manhattan,Seaport,17397,2.2812638091029607,128.12638091029606
210,4789,3796,Brooklyn,Sheepshead Bay,-993,0.7926498225099186,-20.735017749008144
211,40209,145632,Manhattan,SoHo,105423,3.6218756994702677,262.18756994702676
212,5085,2139,Bronx,Soundview/Bruckner,-2946,0.4206489675516224,-57.93510324483776
213,8874,4021,Bronx,Soundview/Castle Hill,-4853,0.45312147847644807,-54.6878521523552
214,191,164,Staten Island,South Beach/Dongan Hills,-27,0.8586387434554974,-14.136125654450263
215,7727,5213,Queens,South Jamaica,-2514,0.6746473404943704,-32.535265950562966
216,11997,13936,Queens,South Ozone Park,1939,1.1616237392681503,16.16237392681504
217,2485,2751,Brooklyn,South Williamsburg,266,1.1070422535211268,10.704225352112676
218,5323,3081,Queens,Springfield Gardens North,-2242,0.5788089423257562,-42.11910576742439
219,3766,3793,Queens,Springfield Gardens South,27,1.0071694105151354,0.7169410515135423
220,3338,3172,Bronx,Spuyten Duyvil/Kingsbridge,-166,0.9502696225284601,-4.973037747153984
221,462,98,Staten Island,Stapleton,-364,0.21212121212121213,-78.78787878787878
222,6102,3715,Brooklyn,Starrett City,-2387,0.6088167813831531,-39.1183218616847
223,9214,9669,Queens,Steinway,455,1.0493813761667028,4.938137616670284
224,36495,31261,Manhattan,Stuy Town/Peter Cooper Village,-5234,0.8565830935744623,-14.341690642553775
225,20187,14823,Brooklyn,Stuyvesant Heights,-5364,0.734284440481498,-26.5715559518502
226,26923,29724,Queens,Sunnyside,2801,1.1040374401069717,10.403744010697173
227,3339,3100,Brooklyn,Sunset Park East,-239,0.9284216831386642,-7.157831686133573
228,5824,7871,Brooklyn,Sunset Park West,2047,1.3514766483516483,35.14766483516483
229,205621,252803,Manhattan,Sutton Place/Turtle Bay North,47182,1.229460998633408,22.94609986334081
230,252397,451784,Manhattan,Times Sq/Theatre District,199387,1.7899737318589366,78.99737318589365
231,114759,219860,Manhattan,TriBeCa/Civic Center,105101,1.915841023362002,91.58410233620022
232,34411,37206,Manhattan,Two Bridges/Seward Park,2795,1.0812240272006044,8.122402720060446
233,132810,188149,Manhattan,UN/Turtle Bay South,55339,1.416677960996913,41.66779609969129
234,180393,442285,Manhattan,Union Sq,261892,2.4517858231749567,145.1785823174957
235,6945,3493,Bronx,University Heights/Morris Heights,-3452,0.5029517638588913,-49.70482361411087
236,546086,835406,Manhattan,Upper East Side North,289320,1.5298066604893734,52.980666048937344
237,471141,933326,Manhattan,Upper East Side South,462185,1.9809908286478994,98.09908286478995
238,270307,348573,Manhattan,Upper West Side North,78266,1.2895448508547689,28.954485085476882
239,308150,491634,Manhattan,Upper West Side South,183484,1.5954372870355347,59.54372870355347
240,663,393,Bronx,Van Cortlandt Park,-270,0.5927601809954751,-40.723981900452486
241,4573,2573,Bronx,Van Cortlandt Village,-2000,0.5626503389459874,-43.73496610540127
